tau,x,y,theta,v,omega,v2_plus_omega2
4.008016032064128098e-02,-4.155943106480980420e-02,-1.591431477981936288e-03,8.260039666904531175e-02,-5.224405785711609962e-01,1.314174966228709884e+00,2.000000000000000444e+00
4.208416833667334017e-02,-4.324474678727171367e-02,-1.734572916328485075e-03,8.691061949700869260e-02,-5.107572443088355119e-01,1.318759658689195868e+00,1.999999999999999778e+00
4.408817635270540630e-02,-4.489124713282905549e-02,-1.881579293398495363e-03,9.123568885372052018e-02,-4.990241288457109015e-01,1.323244088907930660e+00,2.000000000000000000e+00
4.609218436873747243e-02,-4.649876802746887722e-02,-2.032126723058495874e-03,9.557527536397884826e-02,-4.872422490088541003e-01,1.327627579850913619e+00,2.000000000000000444e+00
4.809619238476953162e-02,-4.806715098826053884e-02,-2.185887388433467322e-03,9.992904745544842204e-02,-4.754126347426729793e-01,1.331909466415427845e+00,1.999999999999999778e+00
5.010020040080159776e-02,-4.959624321152450444e-02,-2.342529653173055452e-03,1.042966713982438898e-01,-4.635363289166982703e-01,1.336089095747147626e+00,2.000000000000000000e+00
5.210420841683366389e-02,-5.108589765883369410e-02,-2.501718175445394321e-03,1.086778113455449529e-01,-4.516143871244590602e-01,1.340165827553515543e+00,1.999999999999999778e+00
5.410821643286573002e-02,-5.253597314075821034e-02,-2.663114024604477589e-03,1.130721293752311174e-01,-4.396478774735270156e-01,1.344139034413115663e+00,2.000000000000000444e+00
5.611222444889778921e-02,-5.394633439826555105e-02,-2.826374800473832605e-03,1.174792855325223206e-01,-4.276378803668194339e-01,1.348008102080760606e+00,2.000000000000000444e+00
5.811623246492985534e-02,-5.531685218168994056e-02,-2.991154755186146898e-03,1.218989378736110574e-01,-4.155854882752537671e-01,1.351772429788024255e+00,2.000000000000000000e+00
6.012024048096192147e-02,-5.664740332718602028e-02,-3.157104917515380933e-03,1.263307425102703496e-01,-4.034918055018618110e-01,1.355431430538943882e+00,2.000000000000000000e+00
6.212424849699398066e-02,-5.793787083058399290e-02,-3.323873219634885991e-03,1.307743536554216990e-01,-3.913579479374784120e-01,1.358984531400621254e+00,2.000000000000000000e+00
6.412825651302604679e-02,-5.918814391856513230e-02,-3.491104626232031591e-03,1.352294236696457708e-01,-3.791850428081267044e-01,1.362431173788459349e+00,2.000000000000000000e+00
6.613226452905811292e-02,-6.039811811707847256e-02,-3.658441265906905993e-03,1.396956031086175054e-01,-3.669742284142397670e-01,1.365770813745766699e+00,2.000000000000000444e+00
6.813627254509017905e-02,-6.156769531692181385e-02,-3.825522564779793716e-03,1.441725407714472551e-01,-3.547266538618535359e-01,1.369002922217470442e+00,2.000000000000000888e+00
